,ITEM
96,CAMPEONATO NACIONAL DE RUTA 2022
97,LARGOMETRAJE (S-D)
98,TNV. LA ROSA DE GUADALUPE
99,MASTER CHEF ECUADOR (R)
100,ECUAVISA
101,TNV. EL CUERPO DEL DESEO
102,TNV. ANGEL REBELDE
103,TNV. LA CATEDRAL DEL MAR
104,WARMI RUNNER
105,EL BUSCADOR EN RED
106,EN CONTACTO
107,TNV. CORAZON DE MADRE
108,TNV. CORAZONES CRUZADOS
109,ENCHUFE TV
110,TNV. DULCE VENGANZA
111,TNV. GUARDIAN EL GRAN DIOS SOLITARIO
112,TNV. AMOR DE MADRE
113,TNV. PERDONAME
114,CAFE TV
115,LA CANCION DEL MUNDIAL
116,TNV. YO NO TE PIDO LA LUNA
117,TNV. COMO DICE EL DICHO (S-D)
118,MASTER CHEF ECUADOR
119,100 ECUATORIANOS DICEN
120,BARRA NOVELAS
121,CINE MAGICO (S-D)
122,GUARDIANES DE LA BAHIA (S-D)
123,MISA DE LA MADRE DOLOROSA
124,MISA DE LA VIRGEN DOLOROSA
125,MISA DE LA VIRGEN LA DOLOROSA
126,NEW AMSTERDAM
127,PAGINA WEB
128,SOY YO 5T. LA REINVENCION
129,TELEAMAZONAS EN HD
130,TELEAMAZONAS JUNTO A TI
131,TNV. COMPAÑIA 593 2T
132,TNV. EL PRECIO DE LA TRAICION
133,TNV. HASTA QUE LA PLATA NOS SEPARE
134,TNV. LA LEY DE LA VENGANZA
135,TNV. RECETA DE AMOR
136,TNV. SILVANA SIN LANA (R)
137,TNV. UNA PROMESA A DIOS
138,100 LATINOS DIJERON
139,BARRA NOCHE
140,BARRA PROGRAMACION
141,CARRERA ATLETICA NUESTROS HEROES 10K
142,COPA L-V 22/DOM 23
143,COPA MUNDIAL DE LA FIFA SUB 20
144,ENFERMERAS
145,FUTBOL(AMI): USA-ECUADOR
146,FUTBOL(MFA): ECUADOR-POLONIA (R)
147,FUTBOL(MS20): ARGENTINA-NIGERIA
148,FUTBOL(MS20): BRASIL-NIGERIA
149,FUTBOL(MS20): ECUADOR-COREA
150,FUTBOL(MS20): ECUADOR-ESLOVAQUIA
151,FUTBOL(MS20): ECUADOR-FIJI
152,FUTBOL(MS20): USA-ECUADOR
153,FUTBOL(MS20):ARGENTINA-UZBEKISTAN
154,RESCATANDO SABORES
155,SABOREANDO LA MAÑANA
156,TNV. DALI Y EL PRINCIPE ARROGANTE
157,TNV. LA PROMESA
158,TNV. DULCE AMBICION
159,FUTBOL(MS20): USA-URUGUAY
160,FUTBOL(MS20):ITALIA-COREA
161,TNV. LA ESPOSA QUE QUIERO
162,FUTBOL(MS20): URUGUAY-ITALIA
163,LARGOMETRAJE DOMINGO
164,TNV. LA TEACHER DE INGLES
165,TOUR DE FRANCIA (S-D)
166,TNV. DUELE AMAR
167,DALILA
168,TNV. GULPERI
169,HASTA QUE TE CONOCI
